dataset,method,degree,rmse
exploration,naive,1,0.5346705942010511
exploration,naive,2,0.18373609846306155
exploration,naive,3,0.17951142223687397
exploration,naive,4,0.1760869445791465
exploration,naive,5,0.16574782814889683
exploration,optimized,1,0.5346705942010511
exploration,optimized,2,0.18373609846306158
exploration,optimized,3,0.17951142223687397
exploration,optimized,4,0.17608694457914717
exploration,optimized,5,0.16574782814889807
exploration,optimized,6,0.14767499986643984
exploration,optimized,7,0.12910943007382422
exploration,optimized,8,0.09940844617781294
exploration,optimized,9,1.0824850597163245e-08
exploration,optimized,10,2.7464120636429027e-10
exploration,optimized,11,8.546817406600111e-11
exploration,optimized,12,2.9088799779559012e-11
exploration,optimized,13,7.959474919806964e-12
exploration,optimized,14,7.469915339600545e-12
exploration,optimized,15,7.211795048449353e-12
exploration,optimized,16,3.0127625243277356e-12
exploration,optimized,17,4.4620479615882725e-12
exploration,optimized,18,2.767328630619718e-12
exploration,optimized,19,3.163205818928545e-12
exploration,optimized,20,2.592003178385635e-12
target,optimized,1,0.034701493991148864
target,optimized,2,0.0015876469016834086
target,optimized,3,0.0008399308205840206
target,optimized,4,3.3124746351481855e-05
target,optimized,5,1.190815856217581e-05
target,optimized,6,2.9910391064217053e-07
target,optimized,7,7.553716068355622e-08
target,optimized,8,1.2780170241359108e-09
target,optimized,9,2.2344080245311208e-10
target,optimized,10,3.0202901796799564e-12
